country,slat,slon,elat,elon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
China,30.5928,114.3055,30.5928,114.3055,278,309,571,830,1297,1985,2761,4537,5997,7736,9720,11821,14411,17238,20471,24363,28060,31211,34598,37251,40235,42708,45171,46550,48548,50054,51174,70635,72528,74280
Japan,30.5928,114.3055,36.2048,138.2529,1,1,1,1,3,3,4,6,7,11,14,17,20,20,20,23,25,25,25,26,26,26,28,29,33,41,53,59,65,73
Republic of Korea,30.5928,114.3055,37.5665,126.978,1,1,1,2,2,2,4,4,4,4,11,12,15,15,16,18,23,24,24,27,27,28,28,28,28,28,29,30,31,51
Vietnam,30.5928,114.3055,14.0583,108.2772,0,0,0,2,2,2,2,2,2,2,5,6,7,8,9,10,10,12,13,14,14,15,15,16,16,16,16,16,16,16
Singapore,30.5928,114.3055,1.3521,103.8198,0,0,0,1,3,4,4,7,7,10,13,16,18,18,18,24,28,30,33,40,43,45,47,50,58,67,72,75,77,81
Australia,30.5928,114.3055,-25,135,0,0,0,0,3,4,4,5,7,7,9,12,12,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15
Malaysia,30.5928,114.3055,4.2105,101.9758,0,0,0,0,0,3,4,4,4,7,8,8,8,8,10,10,12,14,15,17,18,18,18,18,19,21,22,22,22,22
Cambodia,30.5928,114.3055,12.5657,104.991,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Philippines,30.5928,114.3055,13,122,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Thailand,30.5928,114.3055,15.87,100.9925,2,2,4,4,4,5,5,14,14,14,14,19,19,19,19,25,25,25,32,32,32,33,33,33,33,34,34,35,35,35
Nepal,30.5928,114.3055,28.3949,84.124,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sri Lanka,30.5928,114.3055,7.8731,80.7718,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,30.5928,114.3055,20,77,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
USA,30.5928,114.3055,39.76,-98.5,0,0,1,1,2,2,5,5,5,5,6,7,8,11,11,11,12,12,12,12,12,13,13,14,15,15,15,15,15,15
Canada,30.5928,114.3055,60.10867,-113.64258,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,8,8
France,30.5928,114.3055,46.2276,2.2137,0,0,0,0,3,3,3,3,4,5,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12
Finland,30.5928,114.3055,64,26,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,30.5928,114.3055,51.1657,10.4515,0,0,0,0,0,0,0,1,4,4,5,7,8,10,12,12,12,13,14,14,14,14,16,16,16,16,16,16,16,16
Italy,30.5928,114.3055,42.504154,12.646361,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Russia,30.5928,114.3055,60,100,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Spain,30.5928,114.3055,40,-4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Sweden,30.5928,114.3055,62,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK,30.5928,114.3055,54.8,-2.7,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,4,8,8,9,9,9,9,9,9,9
Belgium,30.5928,114.3055,50.5039,4.4699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,30.5928,114.3055,23.4241,53.8478,0,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,7,8,8,8,8,8,8,9,9,9
Egypt,30.5928,114.3055,26.8206,30.8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Iran,30.5928,114.3055,32.4279,53.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,30.5928,114.3055,31.0461,34.8516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,30.5928,114.3055,33.8547,35.8623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
