,country,continent,military,total,civilian,lat,lon
1,Albania,Europe,"30,000","30,200",200,41.000028,19.9999619
2,Australia,Oceania,"39,800","40,500",700,-24.7761086,134.755
3,Austria,Europe,"261,000","384,700","123,700",47.2000338,13.199959
4,Belgium,Europe,"12,100","86,100","74,000",50.6402809,4.6667145
5,Brazil,South America,"1,000","2,000","1,000",-10.3333333,-53.2
6,Bulgaria,Europe,"22,000","25,000","3,000",42.6073975,25.4856617
7,Canada,North America,"45,400","45,400",0,61.0666922,-107.9917071
8,China,Asia,"3,500,000","20,000,000","16,500,000",35.000074,104.999927
9,Czechoslovakia,Europe,"25,000","345,000","320,000",49.8167003,15.4749544
10,Denmark,Europe,"2,100","3,200","1,100",55.670249,10.3333283
11,Dutch East Indies,Asia,0,"3,500,000","3,500,000",-2.4833826,117.8902853
12,Estonia,Europe,0,"51,000","51,000",58.7523778,25.3319078
13,Ethiopia,Africa,"5,000","100,000","95,000",10.2116702,38.6521203
14,Finland,Europe,"95,000","97,000","2,000",63.2467777,25.9209164
15,France,Europe,"217,600","567,600","350,000",46.603354,1.8883335
16,French Indochina,Asia,0,"1,250,000","1,250,000",13.2904027,108.4265113
17,Germany,Europe,"5,533,000","7,200,000","1,667,000",51.0834196,10.4234469
18,Greece,Europe,"27,500","550,000","522,500",38.9953683,21.9877132
19,Hungary,Europe,"300,000","580,000","280,000",47.1817585,19.5060937
20,India,Asia,"87,000","2,000,000","1,913,000",22.3511148,78.6677428
21,Italy,Europe,"301,400","457,000","155,600",42.6384261,12.674297
22,Japan,Asia,"2,120,000","2,850,000","730,000",36.5748441,139.2394179
23,Korea,Asia,0,"4,350,000","4,350,000",36.5581914,127.9408564
24,Latvia,Europe,0,"227,000","227,000",56.8406494,24.7537645
25,Lithuania,Europe,0,"353,000","353,000",55.3500003,23.7499997
26,Luxembourg,Europe,0,"2,000","2,000",49.8158683,6.1296751
27,Malaya,Asia,0,"100,000","100,000",4.5693754,102.2656823
28,Netherlands,Europe,"17,000","301,000","284,000",52.5001698,5.7480821
29,New Zealand,Oceania,"11,900","11,900",0,-41.5000831,172.8344077
30,Norway,Europe,"3,000","9,500","6,500",64.5731537,11.52803644
31,Papua New Guinea,Oceania,0,"15,000","15,000",-5.6816069,144.2489081
32,Philippines,Asia,"57,000","750,000","693,000",12.7503486,122.7312101
33,Poland,Europe,"240,000","5,600,000","5,360,000",52.215933,19.134422
34,Rumania,Europe,"300,000","833,000","533,000",45.9852129,24.6859225
35,Singapore,Asia,0,"50,000","50,000",1.340863,103.8303918
36,South Africa,Africa,"11,900","11,900",0,-28.8166236,24.991639
37,Soviet Union,Europe,"9,900,000","24,000,000","14,100,000",64.6863136,97.7453061
38,United Kingdom,Europe,"383,600","450,700","67,100",54.7023545,-3.2765753
39,United States,North America,"416,800","418,500","1,700",39.7837304,-100.4458825
40,Yugoslavia,Europe,"446,000","1,000,000","554,000",44.1534121,20.55144
